"hybrid" "dent" "flint" "GY" "GM" "hy"
"417" "D599:F338" "D599" "F338" 9.68 0.69 "599:338"
"418" "D599:F340" "D599" "F340" -1.58 1.04 "599:340"
"419" "D599:F345" "D599" "F345" -8.18 0.69 "599:345"
"420" "D599:F483" "D599" "F483" -3.57 0.61 "599:483"
"421" "D797:F338" "D797" "F338" -0.69 2.07 "797:338"
"422" "D797:F340" "D797" "F340" 1.46 2.29 "797:340"
"423" "D797:F345" "D797" "F345" -8.04 3.32 "797:345"
"424" "D797:F483" "D797" "F483" -1.54 2.56 "797:483"
"425" "D583:F483" "D583" "F483" -4.1 0.28 "583:483"
"426" "D617:F338" "D617" "F338" 5.46 0.75 "617:338"
"427" "D604:F338" "D604" "F338" 15.43 -1.55 "604:338"
"428" "D605:F338" "D605" "F338" 11.63 -1.51 "605:338"
"429" "D606:F338" "D606" "F338" 8.19 -1.49 "606:338"
"430" "D607:F338" "D607" "F338" 7.4 -1.42 "607:338"
"431" "D608:F338" "D608" "F338" 12.48 -1.22 "608:338"
"432" "D609:F338" "D609" "F338" 10.85 -1.33 "609:338"
"433" "D611:F338" "D611" "F338" 8.77 -1.23 "611:338"
"434" "D614:F338" "D614" "F338" 0.96 -0.03 "614:338"
"435" "D616:F338" "D616" "F338" -11.24 2.41 "616:338"
"436" "D618:F338" "D618" "F338" 13.47 -0.82 "618:338"
"437" "D620:F338" "D620" "F338" -1.54 -0.36 "620:338"
"438" "D622:F338" "D622" "F338" -15.4 4.08 "622:338"
"439" "D617:F340" "D617" "F340" 2.57 0.98 "617:340"
"440" "D604:F340" "D604" "F340" 16.2 -1.03 "604:340"
"441" "D605:F340" "D605" "F340" 7.83 -1.47 "605:340"
"442" "D606:F340" "D606" "F340" 9.78 -1.53 "606:340"
"443" "D607:F340" "D607" "F340" 6.12 -1.7 "607:340"
"444" "D608:F340" "D608" "F340" 14.87 -1.3 "608:340"
"445" "D609:F340" "D609" "F340" 7.84 -1.64 "609:340"
"446" "D611:F340" "D611" "F340" 7.03 -1.99 "611:340"
"447" "D614:F340" "D614" "F340" 1.1 1.69 "614:340"
"448" "D616:F340" "D616" "F340" -2.97 2.66 "616:340"
"449" "D618:F340" "D618" "F340" 10.33 0.28 "618:340"
"450" "D620:F340" "D620" "F340" 8.58 1.38 "620:340"
"451" "D622:F340" "D622" "F340" -6.48 3.84 "622:340"
"452" "D617:F345" "D617" "F345" -2.77 2.39 "617:345"
"453" "D604:F345" "D604" "F345" 4.32 -0.32 "604:345"
"454" "D605:F345" "D605" "F345" -6.78 0.78 "605:345"
"455" "D606:F345" "D606" "F345" -1.71 0.24 "606:345"
"456" "D607:F345" "D607" "F345" 0.2 -0.08 "607:345"
"457" "D609:F345" "D609" "F345" 0.43 0.77 "609:345"
"458" "D611:F345" "D611" "F345" 2.2 0.63 "611:345"
"459" "D614:F345" "D614" "F345" -8.66 1.94 "614:345"
"460" "D616:F345" "D616" "F345" -21.71 3.82 "616:345"
"461" "D618:F345" "D618" "F345" -0.48 0.4 "618:345"
"462" "D620:F345" "D620" "F345" -4.35 2.12 "620:345"
"463" "D622:F345" "D622" "F345" -26.71 5.76 "622:345"
"464" "D560:F348" "D560" "F348" 9.29 -1.14 "560:348"
"465" "D797:F348" "D797" "F348" -1.26 1.59 "797:348"
"466" "D617:F348" "D617" "F348" 9.63 0.36 "617:348"
"467" "D560:F349" "D560" "F349" 8.17 -1.15 "560:349"
"468" "D617:F349" "D617" "F349" 7 -1.08 "617:349"
"469" "D560:F350" "D560" "F350" 5.04 -0.19 "560:350"
"470" "D584:F350" "D584" "F350" 6.78 1.09 "584:350"
"471" "D797:F350" "D797" "F350" 1.05 1.65 "797:350"
"472" "D617:F350" "D617" "F350" 5.32 0.07 "617:350"
"473" "D560:F351" "D560" "F351" 8.07 -1.43 "560:351"
"474" "D617:F351" "D617" "F351" 10.02 -0.35 "617:351"
"475" "D560:F352" "D560" "F352" 5.93 1.54 "560:352"
"476" "D584:F352" "D584" "F352" -5.04 3.75 "584:352"
"477" "D797:F352" "D797" "F352" -4.54 3.9 "797:352"
"478" "D617:F352" "D617" "F352" -4.28 2.74 "617:352"
"479" "D560:F353" "D560" "F353" 0.07 1.95 "560:353"
"480" "D584:F353" "D584" "F353" -3.57 2.78 "584:353"
"481" "D797:F353" "D797" "F353" -1.44 2.95 "797:353"
"482" "D617:F353" "D617" "F353" -3.01 2.51 "617:353"
"483" "D560:F354" "D560" "F354" -3.63 2.63 "560:354"
"484" "D797:F354" "D797" "F354" -4.23 3.41 "797:354"
"485" "D617:F354" "D617" "F354" -5.88 1.58 "617:354"
"486" "D560:F488" "D560" "F488" -3.31 0.36 "560:488"
"487" "D584:F488" "D584" "F488" -4.14 1.91 "584:488"
"488" "D797:F488" "D797" "F488" -5.95 1.95 "797:488"
"489" "D617:F488" "D617" "F488" -9.76 1.21 "617:488"
"490" "D560:F489" "D560" "F489" 0.1 1.65 "560:489"
"491" "D584:F489" "D584" "F489" -1.77 2.31 "584:489"
"492" "D797:F489" "D797" "F489" -4.32 2.39 "797:489"
"493" "D617:F489" "D617" "F489" -1.43 2.15 "617:489"
"494" "D560:F490" "D560" "F490" 3.71 -0.61 "560:490"
"495" "D584:F490" "D584" "F490" -5.96 1.55 "584:490"
"496" "D797:F490" "D797" "F490" -2.12 2.04 "797:490"
"497" "D617:F490" "D617" "F490" -2.07 0.84 "617:490"
"498" "D560:F491" "D560" "F491" -4.84 1.38 "560:491"
"499" "D797:F491" "D797" "F491" -2.21 2.26 "797:491"
"500" "D617:F491" "D617" "F491" -3.97 2.31 "617:491"
"501" "D560:F492" "D560" "F492" -1.39 1.23 "560:492"
"502" "D584:F492" "D584" "F492" 3.76 1.52 "584:492"
"503" "D797:F492" "D797" "F492" -4.06 1.62 "797:492"
"504" "D617:F492" "D617" "F492" -5.77 2.27 "617:492"
"505" "D560:F810" "D560" "F810" -4.78 1.49 "560:810"
"506" "D560:F811" "D560" "F811" 3.08 -0.2 "560:811"
"507" "D584:F348" "D584" "F348" 8.03 1.12 "584:348"
"508" "D584:F349" "D584" "F349" 5.5 1.27 "584:349"
"509" "D584:F351" "D584" "F351" 7.03 1.05 "584:351"
"510" "D584:F354" "D584" "F354" -10.16 4.23 "584:354"
"511" "D584:F491" "D584" "F491" -4.41 2.38 "584:491"
"512" "D608:F345" "D608" "F345" -4.08 0.68 "608:345"
"513" "D797:F349" "D797" "F349" 1.2 0.06 "797:349"
"514" "D797:F351" "D797" "F351" 0.11 0.35 "797:351"
"515" "D560:F355" "D560" "F355" 0.94 2.28 "560:355"
"516" "D560:F367" "D560" "F367" 8.95 0.77 "560:367"
"517" "D584:F361" "D584" "F361" -15.81 0.94 "584:361"
"518" "D584:F367" "D584" "F367" -7.27 2.03 "584:367"
"519" "D584:F370" "D584" "F370" 1.04 2.21 "584:370"
"520" "D584:F377" "D584" "F377" -4.69 1.75 "584:377"
"521" "D604:F323" "D604" "F323" 10.93 -3.71 "604:323"
"522" "D604:F352" "D604" "F352" 11.15 -0.21 "604:352"
"523" "D604:F353" "D604" "F353" 7.59 -1.41 "604:353"
"524" "D604:F355" "D604" "F355" 13.18 -0.01 "604:355"
"525" "D604:F361" "D604" "F361" 6.58 1.86 "604:361"
"526" "D604:F367" "D604" "F367" 13.47 -1.45 "604:367"
"527" "D604:F370" "D604" "F370" 13.14 -0.69 "604:370"
"528" "D604:F377" "D604" "F377" 13.76 -1.32 "604:377"
"529" "D604:F491" "D604" "F491" 1.93 -0.5 "604:491"
"530" "D607:F352" "D607" "F352" -0.02 -0.12 "607:352"
"531" "D607:F367" "D607" "F367" 14.08 -1.13 "607:367"
"532" "D608:F323" "D608" "F323" 14.48 -3.1 "608:323"
"533" "D608:F352" "D608" "F352" 5.63 0.41 "608:352"
"534" "D608:F353" "D608" "F353" 10.76 -0.62 "608:353"
"535" "D608:F355" "D608" "F355" 7.2 0.62 "608:355"
"536" "D608:F361" "D608" "F361" 13.5 -0.72 "608:361"
"537" "D608:F367" "D608" "F367" 15.99 -0.32 "608:367"
"538" "D608:F370" "D608" "F370" 11.47 0.19 "608:370"
"539" "D608:F377" "D608" "F377" 14.95 -1.09 "608:377"
"540" "D608:F491" "D608" "F491" 3.48 0.39 "608:491"
"541" "D619:F367" "D619" "F367" -2.33 -1.63 "619:367"
"542" "D620:F352" "D620" "F352" -3.59 1.51 "620:352"
"543" "D620:F355" "D620" "F355" -11.72 1.72 "620:355"
"544" "D620:F367" "D620" "F367" -6.73 1.2 "620:367"
"545" "D627:F338" "D627" "F338" 13.85 -0.14 "627:338"
"546" "D627:F340" "D627" "F340" 0.11 2.75 "627:340"
"547" "D627:F352" "D627" "F352" 19.35 -1.61 "627:352"
"548" "D627:F355" "D627" "F355" 3.38 1.88 "627:355"
"549" "D627:F367" "D627" "F367" 5.45 1.66 "627:367"
"550" "D632:F338" "D632" "F338" 10.04 -2.05 "632:338"
"551" "D632:F352" "D632" "F352" -0.31 0.47 "632:352"
"552" "D632:F355" "D632" "F355" -0.07 0.52 "632:355"
"553" "D632:F367" "D632" "F367" 7.28 -0.39 "632:367"
"554" "D634:F323" "D634" "F323" -10.67 -2.69 "634:323"
"555" "D634:F338" "D634" "F338" 7.03 -1.32 "634:338"
"556" "D634:F340" "D634" "F340" -0.42 1.54 "634:340"
"557" "D634:F352" "D634" "F352" -3.16 0.71 "634:352"
"558" "D634:F353" "D634" "F353" -10.42 -0.99 "634:353"
"559" "D634:F355" "D634" "F355" -10.69 1.11 "634:355"
"560" "D634:F361" "D634" "F361" 2.91 -0.02 "634:361"
"561" "D634:F367" "D634" "F367" -1.97 0.51 "634:367"
"562" "D634:F370" "D634" "F370" -15.14 1.06 "634:370"
"563" "D634:F377" "D634" "F377" 0.79 0.49 "634:377"
"564" "D634:F491" "D634" "F491" -8.13 0.24 "634:491"
"565" "D640:F323" "D640" "F323" 2.38 -3.55 "640:323"
"566" "D640:F352" "D640" "F352" -12.23 0.51 "640:352"
"567" "D640:F353" "D640" "F353" 4.16 -0.87 "640:353"
"568" "D640:F355" "D640" "F355" 1.09 1.49 "640:355"
"569" "D640:F361" "D640" "F361" -1.99 -2.36 "640:361"
"570" "D640:F367" "D640" "F367" -3.68 0.1 "640:367"
"571" "D640:F370" "D640" "F370" -11.64 0.37 "640:370"
"572" "D640:F377" "D640" "F377" -0.33 -1.74 "640:377"
"573" "D640:F491" "D640" "F491" -4.73 1.1 "640:491"
"574" "D647:F338" "D647" "F338" 13.09 0.64 "647:338"
"575" "D647:F340" "D647" "F340" 13.26 1.35 "647:340"
"576" "D647:F352" "D647" "F352" -0.22 3.21 "647:352"
"577" "D647:F355" "D647" "F355" 5.95 3.47 "647:355"
"578" "D647:F367" "D647" "F367" 2.09 1.98 "647:367"
"579" "D648:F338" "D648" "F338" 10.1 -0.15 "648:338"
"580" "D648:F340" "D648" "F340" 8.33 0.25 "648:340"
"581" "D648:F352" "D648" "F352" -1.36 0.74 "648:352"
"582" "D648:F355" "D648" "F355" 10.05 1.08 "648:355"
"583" "D648:F367" "D648" "F367" 9.17 0 "648:367"
"584" "D584:F355" "D584" "F355" -21.56 2.98 "584:355"
"585" "D640:F340" "D640" "F340" -0.68 0.3 "640:340"
"586" "D619:F355" "D619" "F355" -6.01 0.44 "619:355"
"587" "D632:F340" "D632" "F340" -3.94 -0.07 "632:340"
"588" "D607:F355" "D607" "F355" 1.97 -2.76 "607:355"
"589" "D640:F338" "D640" "F338" -23.34 -3.19 "640:338"
"590" "D560:F365" "D560" "F365" 7.04 0.64 "560:365"
"591" "D560:F366" "D560" "F366" -5.51 1.6 "560:366"
"592" "D560:F370" "D560" "F370" 2.16 0.61 "560:370"
"593" "D560:F377" "D560" "F377" 8.39 -0.69 "560:377"
"594" "D584:F365" "D584" "F365" -2.13 1.66 "584:365"
"595" "D604:F365" "D604" "F365" 6.76 -0.58 "604:365"
"596" "D608:F348" "D608" "F348" 10.55 -1.22 "608:348"
"597" "D608:F365" "D608" "F365" 10.76 -0.37 "608:365"
"598" "D608:F366" "D608" "F366" 5.68 0.84 "608:366"
"599" "D609:F365" "D609" "F365" 4.8 0.69 "609:365"
"600" "D609:F377" "D609" "F377" 7.06 -0.95 "609:377"
"601" "D625:F338" "D625" "F338" 11.04 -1.4 "625:338"
"602" "D625:F340" "D625" "F340" 8.42 -1.18 "625:340"
"603" "D625:F365" "D625" "F365" 8.22 -0.52 "625:365"
"604" "D625:F377" "D625" "F377" 11.05 -1.46 "625:377"
"605" "D627:F365" "D627" "F365" -4.65 1.21 "627:365"
"606" "D627:F377" "D627" "F377" 4.59 0.74 "627:377"
"607" "D635:F338" "D635" "F338" 4.18 0.06 "635:338"
"608" "D635:F340" "D635" "F340" 5.74 1.7 "635:340"
"609" "D635:F365" "D635" "F365" 3.8 0.56 "635:365"
"610" "D635:F377" "D635" "F377" 8.48 -0.34 "635:377"
"611" "D639:F338" "D639" "F338" 9.81 -1.16 "639:338"
"612" "D639:F340" "D639" "F340" 11.55 0.55 "639:340"
"613" "D639:F345" "D639" "F345" 1.85 1.74 "639:345"
"614" "D639:F348" "D639" "F348" 13.37 -0.63 "639:348"
"615" "D639:F365" "D639" "F365" 2.02 1.35 "639:365"
"616" "D639:F366" "D639" "F366" 0.41 2.84 "639:366"
"617" "D639:F370" "D639" "F370" 4 1.72 "639:370"
"618" "D639:F377" "D639" "F377" 13.26 -0.18 "639:377"
"619" "D641:F338" "D641" "F338" -1.24 -0.78 "641:338"
"620" "D641:F340" "D641" "F340" 2.6 0.96 "641:340"
"621" "D641:F365" "D641" "F365" 1.07 1.56 "641:365"
"622" "D641:F377" "D641" "F377" 6.01 -0.42 "641:377"
"623" "D642:F338" "D642" "F338" -0.11 1.74 "642:338"
"624" "D642:F340" "D642" "F340" 7.33 2.92 "642:340"
"625" "D642:F365" "D642" "F365" -4.24 1.67 "642:365"
"626" "D642:F377" "D642" "F377" 0.7 1.65 "642:377"
"627" "D643:F338" "D643" "F338" 12.23 -1.18 "643:338"
"628" "D643:F340" "D643" "F340" 9.48 0.81 "643:340"
"629" "D643:F365" "D643" "F365" 6.52 0 "643:365"
"630" "D643:F377" "D643" "F377" 13.47 -0.09 "643:377"
"631" "D645:F338" "D645" "F338" 10.14 1.37 "645:338"
"632" "D645:F340" "D645" "F340" 2.59 2.35 "645:340"
"633" "D645:F365" "D645" "F365" -0.64 1.59 "645:365"
"634" "D645:F377" "D645" "F377" -0.69 1.29 "645:377"
"635" "D647:F345" "D647" "F345" 0.25 2.26 "647:345"
"636" "D647:F348" "D647" "F348" 13.43 -0.27 "647:348"
"637" "D647:F365" "D647" "F365" 5.46 2.83 "647:365"
"638" "D647:F366" "D647" "F366" 0.14 4.08 "647:366"
"639" "D647:F370" "D647" "F370" 5.4 2.37 "647:370"
"640" "D647:F377" "D647" "F377" 11.09 0.74 "647:377"
"641" "D648:F365" "D648" "F365" 12.6 0.12 "648:365"
"642" "D648:F377" "D648" "F377" 17.32 -0.67 "648:377"
"643" "D660:F338" "D660" "F338" 14.01 -0.41 "660:338"
"644" "D660:F340" "D660" "F340" 8.71 -0.16 "660:340"
"645" "D660:F365" "D660" "F365" 5.36 0.98 "660:365"
"646" "D660:F377" "D660" "F377" 11.15 -0.72 "660:377"
"647" "D661:F338" "D661" "F338" 7.18 0.16 "661:338"
"648" "D661:F340" "D661" "F340" 7.08 0.83 "661:340"
"649" "D661:F365" "D661" "F365" 3.48 1.23 "661:365"
"650" "D661:F377" "D661" "F377" 12.14 -0.18 "661:377"
"651" "D560:F359" "D560" "F359" -1.12 0.36 "560:359"
"652" "D560:F380" "D560" "F380" -2.62 2.79 "560:380"
"653" "D560:F383" "D560" "F383" 5.73 -0.43 "560:383"
"654" "D560:F387" "D560" "F387" 4.45 0.66 "560:387"
"655" "D560:F394" "D560" "F394" 1.93 2.44 "560:394"
"656" "D604:F348" "D604" "F348" 8.93 -2.01 "604:348"
"657" "D604:F359" "D604" "F359" 10.46 -0.22 "604:359"
"658" "D604:F380" "D604" "F380" 8.26 1.65 "604:380"
"659" "D604:F383" "D604" "F383" 10.84 -1.08 "604:383"
"660" "D604:F387" "D604" "F387" 6.87 -0.55 "604:387"
"661" "D604:F394" "D604" "F394" 7.48 0.68 "604:394"
"662" "D627:F323" "D627" "F323" 12.64 -1.73 "627:323"
"663" "D627:F348" "D627" "F348" 10.84 0.69 "627:348"
"664" "D627:F380" "D627" "F380" -6.32 3.96 "627:380"
"665" "D639:F323" "D639" "F323" 11.56 -1.72 "639:323"
"666" "D647:F323" "D647" "F323" 13.71 -1.1 "647:323"
"667" "D647:F359" "D647" "F359" 5.48 2.73 "647:359"
"668" "D647:F380" "D647" "F380" 7.84 3.31 "647:380"
"669" "D647:F383" "D647" "F383" 7.61 2.05 "647:383"
"670" "D647:F387" "D647" "F387" 11.2 1.31 "647:387"
"671" "D647:F394" "D647" "F394" 6.05 3.01 "647:394"
"672" "D648:F323" "D648" "F323" 7.52 -2.96 "648:323"
"673" "D648:F348" "D648" "F348" 8.49 -1.5 "648:348"
"674" "D648:F380" "D648" "F380" 4.54 2.47 "648:380"
"675" "D652:F323" "D652" "F323" 13.82 -3.54 "652:323"
"676" "D652:F340" "D652" "F340" 14.06 -0.3 "652:340"
"677" "D652:F348" "D652" "F348" 11.55 -1.15 "652:348"
"678" "D660:F323" "D660" "F323" 9.48 -2.92 "660:323"
"679" "D660:F348" "D660" "F348" 10.32 -1.76 "660:348"
"680" "D660:F355" "D660" "F355" -2.54 2.29 "660:355"
"681" "D660:F359" "D660" "F359" 0.06 0.36 "660:359"
"682" "D660:F370" "D660" "F370" 2.29 0.34 "660:370"
"683" "D660:F380" "D660" "F380" -5.07 1.92 "660:380"
"684" "D660:F383" "D660" "F383" 2.6 2.36 "660:383"
"685" "D660:F387" "D660" "F387" 5.58 -0.03 "660:387"
"686" "D660:F394" "D660" "F394" 4.83 2.02 "660:394"
"687" "D661:F323" "D661" "F323" 8.82 -2.04 "661:323"
"688" "D661:F348" "D661" "F348" 3.24 -0.24 "661:348"
"689" "D661:F380" "D661" "F380" -9.32 3.95 "661:380"
"690" "D662:F323" "D662" "F323" 5.68 -2.36 "662:323"
"691" "D662:F340" "D662" "F340" 7.17 0.24 "662:340"
"692" "D662:F348" "D662" "F348" 5.15 -0.95 "662:348"
"693" "D662:F380" "D662" "F380" 2.11 3.01 "662:380"
"694" "D677:F323" "D677" "F323" 15.86 -3.29 "677:323"
"695" "D677:F340" "D677" "F340" 16.74 0.02 "677:340"
"696" "D677:F348" "D677" "F348" 14.53 -2.14 "677:348"
"697" "D677:F380" "D677" "F380" 2.61 2.93 "677:380"
"698" "D679:F323" "D679" "F323" 16.99 -5.47 "679:323"
"699" "D679:F340" "D679" "F340" 18.28 -4.82 "679:340"
"700" "D679:F348" "D679" "F348" 19.11 -4.75 "679:348"
"701" "D679:F380" "D679" "F380" 16.82 -1.37 "679:380"
"702" "D694:F323" "D694" "F323" 10.13 -3.41 "694:323"
"703" "D694:F340" "D694" "F340" 12.45 -1.01 "694:340"
"704" "D694:F348" "D694" "F348" 9.3 -2.18 "694:348"
"705" "D694:F380" "D694" "F380" -0.21 2.6 "694:380"
"706" "D696:F323" "D696" "F323" 11.34 -3.88 "696:323"
"707" "D696:F340" "D696" "F340" 12.54 -0.52 "696:340"
"708" "D696:F348" "D696" "F348" 16.24 -2.04 "696:348"
"709" "D696:F380" "D696" "F380" 2.18 2.3 "696:380"
"710" "D700:F323" "D700" "F323" 7.28 -2.24 "700:323"
"711" "D700:F340" "D700" "F340" 0.25 0 "700:340"
"712" "D700:F348" "D700" "F348" 3.59 -1.27 "700:348"
"713" "D700:F380" "D700" "F380" 2.21 3.18 "700:380"
"714" "D799:F323" "D799" "F323" 1.77 0.31 "799:323"
"715" "D799:F340" "D799" "F340" -1.63 3.3 "799:340"
"716" "D799:F348" "D799" "F348" -8.73 3.06 "799:348"
"717" "D799:F380" "D799" "F380" -18.58 7.04 "799:380"
"718" "D560:F392" "D560" "F392" -1.44 -1.64 "560:392"
"719" "D560:F397" "D560" "F397" 5.71 0.13 "560:397"
"720" "D560:F401" "D560" "F401" 1.57 -2.45 "560:401"
"721" "D604:F389" "D604" "F389" 17.82 -1.23 "604:389"
"722" "D604:F392" "D604" "F392" 22.55 -1.1 "604:392"
"723" "D604:F397" "D604" "F397" 19.81 -0.52 "604:397"
"724" "D604:F398" "D604" "F398" 17.11 -1.71 "604:398"
"725" "D604:F401" "D604" "F401" 19.29 -3.36 "604:401"
"726" "D604:F402" "D604" "F402" -2.69 -4 "604:402"
"727" "D604:F403" "D604" "F403" 4.37 -0.24 "604:403"
"728" "D627:F397" "D627" "F397" -8.07 2.69 "627:397"
"729" "D627:F401" "D627" "F401" -1.87 2.99 "627:401"
"730" "D647:F389" "D647" "F389" 18.36 0.72 "647:389"
"731" "D647:F392" "D647" "F392" 13.45 -0.16 "647:392"
"732" "D647:F397" "D647" "F397" 13.41 1.99 "647:397"
"733" "D647:F398" "D647" "F398" 17.6 0.77 "647:398"
"734" "D647:F401" "D647" "F401" 11.32 0.65 "647:401"
"735" "D647:F402" "D647" "F402" -9.64 -0.16 "647:402"
"736" "D647:F403" "D647" "F403" 1.3 2.46 "647:403"
"737" "D652:F392" "D652" "F392" 15.66 -0.69 "652:392"
"738" "D652:F397" "D652" "F397" 17.3 0.81 "652:397"
"739" "D652:F401" "D652" "F401" 17.07 -2.39 "652:401"
"740" "D662:F392" "D662" "F392" 5.01 -0.78 "662:392"
"741" "D662:F397" "D662" "F397" 2.14 0.45 "662:397"
"742" "D662:F401" "D662" "F401" 6.03 -1.67 "662:401"
"743" "D677:F365" "D677" "F365" 11.24 0.13 "677:365"
"744" "D677:F370" "D677" "F370" -1.25 0.43 "677:370"
"745" "D677:F383" "D677" "F383" 10.7 -1.78 "677:383"
"746" "D677:F387" "D677" "F387" 3.3 -0.29 "677:387"
"747" "D677:F389" "D677" "F389" 6.51 -1.62 "677:389"
"748" "D677:F392" "D677" "F392" 3.23 -1.99 "677:392"
"749" "D677:F394" "D677" "F394" 4.44 1.87 "677:394"
"750" "D677:F397" "D677" "F397" 9.89 0.64 "677:397"
"751" "D677:F398" "D677" "F398" 6.96 -0.56 "677:398"
"752" "D677:F401" "D677" "F401" 10.58 -2.46 "677:401"
"753" "D677:F402" "D677" "F402" -4.61 -3.37 "677:402"
"754" "D706:F340" "D706" "F340" 9.51 0.42 "706:340"
"755" "D706:F392" "D706" "F392" 6.99 -0.34 "706:392"
"756" "D706:F397" "D706" "F397" 13.74 0.53 "706:397"
"757" "D706:F401" "D706" "F401" 5.43 -1.51 "706:401"
"758" "D709:F340" "D709" "F340" -7.43 2.87 "709:340"
"759" "D709:F392" "D709" "F392" -10.17 1.21 "709:392"
"760" "D709:F397" "D709" "F397" -6.67 2.98 "709:397"
"761" "D714:F340" "D714" "F340" 4.69 -0.58 "714:340"
"762" "D714:F392" "D714" "F392" 3.3 -1.19 "714:392"
"763" "D714:F397" "D714" "F397" 8.02 0.59 "714:397"
"764" "D714:F401" "D714" "F401" -1.46 -0.8 "714:401"
"765" "D716:F340" "D716" "F340" 15.11 0.75 "716:340"
"766" "D716:F348" "D716" "F348" 7.43 -1.04 "716:348"
"767" "D716:F365" "D716" "F365" 8.28 1.47 "716:365"
"768" "D716:F370" "D716" "F370" -2.59 1.9 "716:370"
"769" "D716:F383" "D716" "F383" 12.67 0.54 "716:383"
"770" "D716:F387" "D716" "F387" 4.16 1.61 "716:387"
"771" "D716:F389" "D716" "F389" 9.36 -0.44 "716:389"
"772" "D716:F392" "D716" "F392" 13.38 -0.61 "716:392"
"773" "D716:F394" "D716" "F394" 6.87 2.82 "716:394"
"774" "D716:F397" "D716" "F397" 11.74 1.45 "716:397"
"775" "D716:F398" "D716" "F398" 9.25 -0.94 "716:398"
"776" "D716:F401" "D716" "F401" 4.41 -1.58 "716:401"
"777" "D716:F402" "D716" "F402" 5.07 -1.46 "716:402"
"778" "D716:F403" "D716" "F403" -0.13 0.92 "716:403"
"779" "D801:F340" "D801" "F340" 0.92 1.74 "801:340"
"780" "D801:F392" "D801" "F392" 0.82 1.77 "801:392"
"781" "D801:F397" "D801" "F397" -2.84 3.8 "801:397"
"782" "D801:F401" "D801" "F401" -5.12 0.73 "801:401"
"783" "D804:F340" "D804" "F340" -12.95 3.59 "804:340"
"784" "D804:F392" "D804" "F392" -1.11 2.57 "804:392"
"785" "D804:F397" "D804" "F397" -3.03 4.22 "804:397"
"786" "D804:F401" "D804" "F401" -8.49 1.87 "804:401"
"787" "D677:F403" "D677" "F403" 3.27 0.46 "677:403"
"788" "D709:F401" "D709" "F401" -13.18 -0.23 "709:401"
"789" "D560:F396" "D560" "F396" 6.05 0.69 "560:396"
"790" "D560:F410" "D560" "F410" 4.06 -0.5 "560:410"
"791" "D560:F417" "D560" "F417" 3.47 1.14 "560:417"
"792" "D560:F427" "D560" "F427" 2.62 1.28 "560:427"
"793" "D560:F429" "D560" "F429" 1.3 0.13 "560:429"
"794" "D560:F430" "D560" "F430" -0.36 -0.19 "560:430"
"795" "D560:F431" "D560" "F431" -0.46 -1.26 "560:431"
"796" "D604:F396" "D604" "F396" 12.03 -1.19 "604:396"
"797" "D604:F410" "D604" "F410" -0.61 -1.29 "604:410"
"798" "D604:F417" "D604" "F417" 10.04 -0.43 "604:417"
"799" "D604:F427" "D604" "F427" 6.74 1.33 "604:427"
"800" "D604:F429" "D604" "F429" 2.39 -0.57 "604:429"
"801" "D604:F430" "D604" "F430" 6.98 -1.21 "604:430"
"802" "D604:F431" "D604" "F431" 1.51 -3.56 "604:431"
"803" "D647:F396" "D647" "F396" 7.86 1.53 "647:396"
"804" "D647:F410" "D647" "F410" -0.69 0.73 "647:410"
"805" "D647:F417" "D647" "F417" 10.76 2.76 "647:417"
"806" "D647:F427" "D647" "F427" 6.15 2.49 "647:427"
"807" "D647:F429" "D647" "F429" 2.28 2.11 "647:429"
"808" "D647:F430" "D647" "F430" 5.73 1.72 "647:430"
"809" "D647:F431" "D647" "F431" 11.39 -0.69 "647:431"
"810" "D652:F355" "D652" "F355" 12.09 0.34 "652:355"
"811" "D652:F365" "D652" "F365" 0.58 -1.61 "652:365"
"812" "D652:F380" "D652" "F380" 9.72 2.35 "652:380"
"813" "D652:F383" "D652" "F383" 11.12 -1.08 "652:383"
"814" "D652:F394" "D652" "F394" 9.08 2.06 "652:394"
"815" "D652:F396" "D652" "F396" 16.39 -2.42 "652:396"
"816" "D652:F410" "D652" "F410" 3.32 0.02 "652:410"
"817" "D652:F417" "D652" "F417" 15.63 -0.42 "652:417"
"818" "D652:F427" "D652" "F427" 7.23 1.55 "652:427"
"819" "D652:F429" "D652" "F429" 9.76 -1.34 "652:429"
"820" "D652:F430" "D652" "F430" 7.21 -2.36 "652:430"
"821" "D652:F431" "D652" "F431" 11.62 -3.7 "652:431"
"822" "D662:F355" "D662" "F355" -9.62 1.5 "662:355"
"823" "D662:F383" "D662" "F383" -20.05 0.22 "662:383"
"824" "D662:F394" "D662" "F394" -6.25 2.93 "662:394"
"825" "D662:F396" "D662" "F396" 7.05 -0.48 "662:396"
"826" "D662:F410" "D662" "F410" -8.15 0.38 "662:410"
"827" "D662:F427" "D662" "F427" -6.25 1.87 "662:427"
"828" "D662:F429" "D662" "F429" -2.1 1.06 "662:429"
"829" "D662:F430" "D662" "F430" -4.13 1.03 "662:430"
"830" "D662:F431" "D662" "F431" -5.81 -1.54 "662:431"
"831" "D666:F340" "D666" "F340" 16.48 1.4 "666:340"
"832" "D666:F348" "D666" "F348" 1.65 -0.3 "666:348"
"833" "D666:F355" "D666" "F355" -3.09 1.77 "666:355"
"834" "D666:F365" "D666" "F365" -3.78 0.51 "666:365"
